1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,shape
194,181,138,181,159,172,181,181,171,181,194,159,194,159,185,159,181,194,138,141,194,184,159,194,181,159,172,194,184,181,159,181,159,171,159,138,168,134,134,181,181,155,155,185,155,155,155,155,155,155,181,138,155,155,134,134,138,168,134,134,134,168,181,155,181,181,155,134,168,155,155,181,pyramid
138,134,171,184,172,159,194,181,184,181,155,159,194,181,194,159,194,155,181,194,194,181,159,194,181,171,194,181,159,181,181,159,181,159,181,184,138,134,138,171,181,155,155,181,155,181,155,155,168,155,155,181,155,138,134,152,134,134,155,134,155,181,152,168,155,152,169,181,155,155,181,155,pyramid
138,181,155,185,181,181,181,194,155,181,159,181,159,184,185,159,155,194,194,181,181,184,194,181,159,194,159,159,194,181,194,181,184,184,184,134,134,138,194,168,181,168,155,169,181,155,155,181,155,155,181,155,134,134,181,134,134,155,155,155,155,134,155,152,152,194,155,181,155,181,134,181,pyramid
155,168,168,155,168,181,181,155,194,159,138,194,181,155,194,181,159,181,181,159,171,181,194,181,194,159,181,194,141,194,155,159,181,159,181,194,181,181,194,171,181,194,181,181,172,138,134,134,138,155,155,181,155,181,155,134,134,155,155,181,155,155,155,134,134,134,134,155,168,134,155,181,pyramid
181,155,155,181,134,134,134,159,181,155,159,181,159,171,194,172,169,194,181,181,181,181,194,138,159,194,184,194,172,194,181,181,159,159,194,159,181,181,181,181,181,159,138,194,134,155,169,155,181,155,181,181,155,168,155,181,155,155,155,134,134,134,181,134,155,168,155,168,181,155,155,172,pyramid
134,194,138,194,156,155,181,168,155,194,155,155,181,194,155,194,138,194,138,181,194,194,181,159,194,181,171,181,181,155,181,194,171,194,159,185,159,138,134,134,138,184,181,155,181,155,181,155,155,155,168,181,155,155,155,134,134,152,134,155,134,155,181,155,134,155,134,155,181,155,134,181,pyramid
155,134,194,138,194,155,138,184,155,159,181,181,155,181,185,155,159,138,185,138,181,194,194,181,185,181,184,184,181,194,155,181,194,181,194,159,181,171,138,134,134,138,184,181,171,181,155,181,168,155,155,155,181,155,155,181,138,134,152,134,155,134,155,168,156,134,168,134,155,181,155,155,pyramid
181,155,134,181,138,159,168,155,181,155,181,181,181,155,181,172,181,159,159,194,155,181,194,194,181,181,181,181,194,181,194,155,168,194,181,194,181,181,184,159,134,134,134,184,168,181,168,155,181,181,155,155,181,155,155,168,155,134,134,181,134,155,134,155,155,155,134,181,134,152,181,155,pyramid
134,138,181,155,155,181,168,155,181,181,155,181,169,172,155,181,181,159,138,159,181,155,181,181,171,181,181,155,181,194,181,194,159,181,194,159,138,138,194,181,181,181,181,159,168,171,194,155,181,168,181,155,181,156,134,134,138,181,155,172,181,155,181,155,155,181,134,155,155,181,134,181,pyramid
138,191,191,191,204,191,204,172,188,191,191,191,191,191,204,191,191,191,191,141,117,131,131,131,135,191,194,204,204,204,204,204,191,204,191,191,191,191,191,191,191,169,187,138,148,141,138,141,148,155,191,181,204,191,191,191,191,191,191,191,191,204,191,204,204,204,191,138,134,145,138,138,pyramid
191,191,191,172,191,191,191,191,191,191,191,178,138,148,138,138,138,191,204,204,159,204,217,204,194,194,204,191,191,191,191,191,191,191,191,156,191,162,138,134,134,141,152,159,191,169,204,191,191,191,191,191,172,191,204,204,204,204,204,138,181,162,138,117,117,117,145,134,159,191,191,191,pyramid
